id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,duration_min,distance_km,avg_speed_kmh,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,fare_amount,tip_amount
id3487442,2,2016-02-29 18:39:12,2016-02-29 18:42:59,1,-73.98181915283203,40.76896286010742,-73.98181915283203,40.76896286010742,N,227,3.783333333333333,0.0,0.0,40.76896286010742,-73.98181915283203,40.76896286010742,-73.98181915283203,,
id0924324,2,2016-05-10 18:07:52,2016-05-10 18:26:21,2,-73.95906829833984,40.77566146850586,-73.95906829833984,40.77566146850586,N,1109,18.483333333333334,0.0,0.0,40.77566146850586,-73.95906829833984,40.77566146850586,-73.95906829833984,,
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40,0.6666666666666666,0.003927286932267933,0.35345582390411406,40.75665283203125,-74.00102996826173,40.75662612915039,-74.00099945068358,,
id0790613,1,2016-05-20 14:04:03,2016-05-20 14:33:41,1,-73.9863052368164,40.77702331542969,-73.98585510253906,40.77679061889648,N,1778,29.633333333333333,0.04589248224512426,0.09292066146369367,40.77702331542969,-73.9863052368164,40.77679061889648,-73.98585510253906,,
id1145809,2,2016-05-16 23:15:13,2016-05-16 23:31:00,6,-73.80848693847656,40.68733596801758,-73.80848693847656,40.68733596801758,N,947,15.783333333333333,0.0,0.0,40.68733596801758,-73.80848693847656,40.68733596801758,-73.80848693847656,,
id3307903,2,2016-02-20 04:03:06,2016-02-21 03:33:00,3,-74.00810241699219,40.74148941040039,-74.00995635986328,40.7146110534668,N,84594,1409.9,2.9928170667540286,0.12736295056758756,40.74148941040039,-74.00810241699219,40.7146110534668,-74.00995635986328,,
id0131920,2,2016-02-13 17:24:28,2016-02-13 17:56:13,1,-73.99660491943358,40.72550964355469,-73.9962387084961,40.72579574584961,N,1905,31.75,0.04432167585123269,0.08375749767162084,40.72550964355469,-73.99660491943358,40.72579574584961,-73.9962387084961,,
id3499387,1,2016-01-25 19:45:12,2016-01-25 19:54:52,1,-73.78672027587889,40.64704132080078,-73.78672027587889,40.64704132080078,N,580,9.666666666666666,0.0,0.0,40.64704132080078,-73.78672027587889,40.64704132080078,-73.78672027587889,,
id2386155,2,2016-01-24 12:42:54,2016-01-24 12:54:20,1,-73.98352813720702,40.73802947998047,-73.98323822021484,40.73794937133789,N,686,11.433333333333334,0.02599978481801984,0.13644201945316534,40.73802947998047,-73.98352813720702,40.73794937133789,-73.98323822021484,,
id0729156,2,2016-06-23 13:36:48,2016-06-23 13:36:50,3,-73.82765960693358,40.716175079345696,-73.82211303710938,40.71145248413086,N,2,0.03333333333333333,0.7030648240862281,1265.5166833552105,40.716175079345696,-73.82765960693358,40.71145248413086,-73.82211303710938,,
